,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-OnePoint(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-TwoPointVL(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.0007457544460380263,0.0011638548671860725,0.22108176078817565,1.172750670015351e-06,0.942274684599588,0.8713005687900982,0.029629614579719785,0.00022280251345476197,0.79600457549339
CGP-DeepNeuralCrossover(40+40),0.0007457544460380263,1.0,0.7587100003089104,0.035140809261571766,2.5862399419324543e-16,0.0004881411926803583,0.013953785154950866,0.23968668542517757,6.295260613926427e-15,4.658465010301469e-05
CGP-DeepNeuralCrossover-OnePoint(40+40),0.0011638548671860725,0.7587100003089104,1.0,0.040247407564388306,2.02497754856486e-15,0.00018273502085437032,0.014796129074469273,0.31245358204519313,1.451027519871111e-13,0.00011774409817005058
CGP-OnePoint(40+40),0.22108176078817565,0.035140809261571766,0.040247407564388306,1.0,1.6897093149093884e-10,0.24794171090516004,0.2700021894742959,0.4022502425486011,2.9209281470946117e-08,0.1961430813228524
CGP-OnePointVL(40+40),1.172750670015351e-06,2.5862399419324543e-16,2.02497754856486e-15,1.6897093149093884e-10,1.0,2.277409681182748e-08,0.0011802910468272077,4.6978332737759864e-11,0.05706926826058697,3.2498797898087654e-09
CGP-RealValue(40+40),0.942274684599588,0.0004881411926803583,0.00018273502085437032,0.24794171090516004,2.277409681182748e-08,1.0,0.40984009985566217,0.043269797390887516,7.02416147643971e-06,0.8225949678937203
CGP-Subgraph(40+40),0.8713005687900982,0.013953785154950866,0.014796129074469273,0.2700021894742959,0.0011802910468272077,0.40984009985566217,1.0,0.1105014657455375,0.034016047227782606,0.5718581840733805
CGP-TwoPoint(40+40),0.029629614579719785,0.23968668542517757,0.31245358204519313,0.4022502425486011,4.6978332737759864e-11,0.043269797390887516,0.1105014657455375,1.0,1.0749514140805173e-08,0.052710459839698305
CGP-TwoPointVL(40+40),0.00022280251345476197,6.295260613926427e-15,1.451027519871111e-13,2.9209281470946117e-08,0.05706926826058697,7.02416147643971e-06,0.034016047227782606,1.0749514140805173e-08,1.0,2.141698431083123e-06
CGP-Uniform(40+40),0.79600457549339,4.658465010301469e-05,0.00011774409817005058,0.1961430813228524,3.2498797898087654e-09,0.8225949678937203,0.5718581840733805,0.052710459839698305,2.141698431083123e-06,1.0
