,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-OnePoint(40+40),CGP-OnePointDiversity(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.06720371990888843,0.18677943200775515,0.34318024639305234,0.6969057019843775,0.9642588904029561,0.413975487538776,0.6766227439753234,0.27152201679090304,0.429911925619208
CGP-DeepNeuralCrossover(40+40),0.06720371990888843,1.0,0.6269570263068287,0.3396818555406653,0.09732479745999335,0.06030378874985999,0.3092302962615101,0.16480091329475932,0.4971117207469564,0.3362064160117333
CGP-DeepNeuralCrossover-OnePoint(40+40),0.18677943200775515,0.6269570263068287,1.0,0.7485418654676034,0.3125218274148045,0.19854868663045389,0.6269570263068287,0.390737553235738,0.8713020998815627,0.6615620374415485
CGP-OnePoint(40+40),0.34318024639305234,0.3396818555406653,0.7485418654676034,1.0,0.4691558282927142,0.2931173693460709,0.9203757735227215,0.5789248728632232,0.8794508463281812,0.8685873096351431
CGP-OnePointDiversity(40+40),0.6969057019843775,0.09732479745999335,0.3125218274148045,0.4691558282927142,1.0,0.712262370771201,0.5789271506797158,0.8523399187463092,0.39647005605344665,0.5955395530539767
CGP-OnePointVL(40+40),0.9642588904029561,0.06030378874985999,0.19854868663045389,0.2931173693460709,0.712262370771201,1.0,0.44209463261794313,0.6515966544412114,0.28063997262087403,0.4339510074180726
CGP-RealValue(40+40),0.413975487538776,0.3092302962615101,0.6269570263068287,0.9203757735227215,0.5789271506797158,0.44209463261794313,1.0,0.7174076711831379,0.7960069696428962,0.9917494383745994
CGP-Subgraph(40+40),0.6766227439753234,0.16480091329475932,0.390737553235738,0.5789248728632232,0.8523399187463092,0.6515966544412114,0.7174076711831379,1.0,0.5304367223261801,0.7303243568847724
CGP-TwoPoint(40+40),0.27152201679090304,0.4971117207469564,0.8713020998815627,0.8794508463281812,0.39647005605344665,0.28063997262087403,0.7960069696428962,0.5304367223261801,1.0,0.7880363456181566
CGP-Uniform(40+40),0.429911925619208,0.3362064160117333,0.6615620374415485,0.8685873096351431,0.5955395530539767,0.4339510074180726,0.9917494383745994,0.7303243568847724,0.7880363456181566,1.0
