,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,CGP-OnePoint(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-TwoPointVL(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.06720371990888843,0.07474068090896742,0.18677943200775515,0.18677943200775515,0.18677943200775515,0.14293818231643227,0.031215186499123034,0.7537725963595163,0.5836516113073977,0.3125218274148045,0.8120076863024113,0.6075389657421122,0.6515966544412114,0.4971117207469564
CGP-DeepNeuralCrossover(40+40),0.06720371990888843,1.0,0.9834997094336049,0.6269570263068287,0.6269570263068287,0.6269570263068287,0.7906920426705077,0.8604570352179164,0.025283428513896505,0.008367092007317518,0.42189959061886206,0.023536019025373063,0.012213894067405346,0.013718901811779262,0.007101713816911126
CGP-DeepNeuralCrossover-FixedParents(40+40),0.07474068090896742,0.9834997094336049,1.0,0.7355152759318281,0.7355152759318281,0.7355152759318281,0.8496373326576977,0.9807502142665714,0.021111596319125125,0.007870681276863314,0.40225589012941776,0.022295167429497484,0.0100285966605008,0.014531098515685603,0.006010881139089554
CGP-DeepNeuralCrossover-OnePoint(40+40),0.18677943200775515,0.6269570263068287,0.7355152759318281,1.0,1.0,1.0,0.8713020998815627,0.5883939556686413,0.07362347107245824,0.04521436705638974,0.712262370771201,0.09594118901897761,0.04595995967178464,0.056631889159631875,0.0383034251815027
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,0.18677943200775515,0.6269570263068287,0.7355152759318281,1.0,1.0,1.0,0.8713020998815627,0.5883939556686413,0.07362347107245824,0.04521436705638974,0.712262370771201,0.09594118901897761,0.04595995967178464,0.056631889159631875,0.0383034251815027
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,0.18677943200775515,0.6269570263068287,0.7355152759318281,1.0,1.0,1.0,0.8713020998815627,0.5883939556686413,0.07362347107245824,0.04521436705638974,0.712262370771201,0.09594118901897761,0.04595995967178464,0.056631889159631875,0.0383034251815027
CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),0.14293818231643227,0.7906920426705077,0.8496373326576977,0.8713020998815627,0.8713020998815627,0.8713020998815627,1.0,0.7381152654468986,0.040951809161116653,0.01788322462283443,0.6075389657421122,0.047482238648230174,0.028114738890385193,0.027142017553726375,0.015679831966775318
CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,0.031215186499123034,0.8604570352179164,0.9807502142665714,0.5883939556686413,0.5883939556686413,0.5883939556686413,0.7381152654468986,1.0,0.007101713816911126,0.002503318582961129,0.2745385184010334,0.006010881139089554,0.003913345732013725,0.004363757855695702,0.0020833158445924763
CGP-OnePoint(40+40),0.7537725963595163,0.025283428513896505,0.021111596319125125,0.07362347107245824,0.07362347107245824,0.07362347107245824,0.040951809161116653,0.007101713816911126,1.0,0.7459300800968283,0.1690331681528786,0.9067052996285285,0.8280872985421532,0.9258506767484966,0.656571709139543
CGP-OnePointVL(40+40),0.5836516113073977,0.008367092007317518,0.007870681276863314,0.04521436705638974,0.04521436705638974,0.04521436705638974,0.01788322462283443,0.002503318582961129,0.7459300800968283,1.0,0.10374848806826656,0.707130135998675,0.9587648295967376,0.8334635772994906,0.8120076863024113
CGP-RealValue(40+40),0.3125218274148045,0.42189959061886206,0.40225589012941776,0.712262370771201,0.712262370771201,0.712262370771201,0.6075389657421122,0.2745385184010334,0.1690331681528786,0.10374848806826656,1.0,0.18221888469152203,0.13023052431209622,0.1467359270658094,0.08234343733615611
CGP-Subgraph(40+40),0.8120076863024113,0.023536019025373063,0.022295167429497484,0.09594118901897761,0.09594118901897761,0.09594118901897761,0.047482238648230174,0.006010881139089554,0.9067052996285285,0.707130135998675,0.18221888469152203,1.0,0.8442392855727232,0.8442392855727232,0.5979316591936927
CGP-TwoPoint(40+40),0.6075389657421122,0.012213894067405346,0.0100285966605008,0.04595995967178464,0.04595995967178464,0.04595995967178464,0.028114738890385193,0.003913345732013725,0.8280872985421532,0.9587648295967376,0.13023052431209622,0.8442392855727232,1.0,0.9697546486398354,0.855044223388649
CGP-TwoPointVL(40+40),0.6515966544412114,0.013718901811779262,0.014531098515685603,0.056631889159631875,0.056631889159631875,0.056631889159631875,0.027142017553726375,0.004363757855695702,0.9258506767484966,0.8334635772994906,0.1467359270658094,0.8442392855727232,0.9697546486398354,1.0,0.7303259120356004
CGP-Uniform(40+40),0.4971117207469564,0.007101713816911126,0.006010881139089554,0.0383034251815027,0.0383034251815027,0.0383034251815027,0.015679831966775318,0.0020833158445924763,0.656571709139543,0.8120076863024113,0.08234343733615611,0.5979316591936927,0.855044223388649,0.7303259120356004,1.0
