,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,CGP-OnePoint(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-TwoPointVL(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.3683100032402167,0.06417090017124487,0.3125218274148045,0.3125218274148045,0.3125218274148045,0.1152015555225987,0.5789271506797158,0.8930629655407459,0.6515966544412114,0.34318024639305234,0.6075389657421122,0.9149046417869761,0.4628318402117394,0.9807502142665714
CGP-DeepNeuralCrossover(40+40),0.3683100032402167,1.0,0.3125218274148045,0.9203757735227215,0.9203757735227215,0.9203757735227215,0.4905816142898757,0.7590146502526539,0.350245816633188,0.6027266944719398,0.9862494996122527,0.6615620374415485,0.40614013437894514,0.8442392855727232,0.3092302962615101
CGP-DeepNeuralCrossover-FixedParents(40+40),0.06417090017124487,0.3125218274148045,1.0,0.36465152425376834,0.36465152425376834,0.36465152425376834,0.7748064908186353,0.1525828515534048,0.043753744637871406,0.09056348679082422,0.2426041439573855,0.10596448758985066,0.04595995967178464,0.15456988337874852,0.03460455187680222
CGP-DeepNeuralCrossover-OnePoint(40+40),0.3125218274148045,0.9203757735227215,0.36465152425376834,1.0,1.0,1.0,0.55557849072207,0.6466370623075912,0.30271620519464093,0.5836516113073977,0.9422954352478662,0.5979316591936927,0.3396818555406653,0.7695318249152246,0.2626090616335056
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,0.3125218274148045,0.9203757735227215,0.36465152425376834,1.0,1.0,1.0,0.55557849072207,0.6466370623075912,0.30271620519464093,0.5836516113073977,0.9422954352478662,0.5979316591936927,0.3396818555406653,0.7695318249152246,0.2626090616335056
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,0.3125218274148045,0.9203757735227215,0.36465152425376834,1.0,1.0,1.0,0.55557849072207,0.6466370623075912,0.30271620519464093,0.5836516113073977,0.9422954352478662,0.5979316591936927,0.3396818555406653,0.7695318249152246,0.2626090616335056
CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),0.1152015555225987,0.4905816142898757,0.7748064908186353,0.55557849072207,0.55557849072207,0.55557849072207,1.0,0.28063997262087403,0.08543097668983415,0.20096623049951212,0.43801193504346203,0.22369584451642743,0.10897591910806295,0.322534407404523,0.08173801652907554
CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,0.5789271506797158,0.7590146502526539,0.1525828515534048,0.6466370623075912,0.6466370623075912,0.6466370623075912,0.28063997262087403,1.0,0.44619902178260507,0.8013313771703272,0.7642678019983193,0.9094375387710609,0.5648626219954609,0.9039747211325873,0.4628318402117394
CGP-OnePoint(40+40),0.8930629655407459,0.350245816633188,0.043753744637871406,0.30271620519464093,0.30271620519464093,0.30271620519464093,0.08543097668983415,0.44619902178260507,1.0,0.55557849072207,0.2567805508481191,0.47980480920169444,0.8442392855727232,0.3396818555406653,0.9313290936985889
CGP-OnePointVL(40+40),0.6515966544412114,0.6027266944719398,0.09056348679082422,0.5836516113073977,0.5836516113073977,0.5836516113073977,0.20096623049951212,0.8013313771703272,0.55557849072207,1.0,0.49929694381798073,0.9395525612607053,0.7148325827840052,0.6943572148153319,0.5883939556686413
CGP-RealValue(40+40),0.34318024639305234,0.9862494996122527,0.2426041439573855,0.9422954352478662,0.9422954352478662,0.9422954352478662,0.43801193504346203,0.7642678019983193,0.2567805508481191,0.49929694381798073,1.0,0.5509621422045645,0.3125218274148045,0.7381137516581754,0.2482072248628715
CGP-Subgraph(40+40),0.6075389657421122,0.6615620374415485,0.10596448758985066,0.5979316591936927,0.5979316591936927,0.5979316591936927,0.22369584451642743,0.9094375387710609,0.47980480920169444,0.9395525612607053,0.5509621422045645,1.0,0.5931540252340164,0.7642678019983193,0.5014898391757132
CGP-TwoPoint(40+40),0.9149046417869761,0.40614013437894514,0.04595995967178464,0.3396818555406653,0.3396818555406653,0.3396818555406653,0.10897591910806295,0.5648626219954609,0.8442392855727232,0.7148325827840052,0.3125218274148045,0.5931540252340164,1.0,0.4884169349823003,0.9395525612607053
CGP-TwoPointVL(40+40),0.4628318402117394,0.8442392855727232,0.15456988337874852,0.7695318249152246,0.7695318249152246,0.7695318249152246,0.322534407404523,0.9039747211325873,0.3396818555406653,0.6943572148153319,0.7381137516581754,0.7642678019983193,0.4884169349823003,1.0,0.41004668638288666
CGP-Uniform(40+40),0.9807502142665714,0.3092302962615101,0.03460455187680222,0.2626090616335056,0.2626090616335056,0.2626090616335056,0.08173801652907554,0.4628318402117394,0.9313290936985889,0.5883939556686413,0.2482072248628715,0.5014898391757132,0.9395525612607053,0.41004668638288666,1.0
