,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,CGP-OnePoint(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-TwoPointVL(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.00043269521216995834,0.00024164202506622834,7.266301438527282e-05,7.266301438527282e-05,7.266301438527282e-05,0.00029941163479119544,3.160759418379189e-08,0.0068135084369994195,0.7800909272223677,6.586187528830866e-09,0.000924725887580728,0.009072479409169935,0.5836516113073977,0.4339510074180726
CGP-DeepNeuralCrossover(40+40),0.00043269521216995834,1.0,0.4339510074180726,0.5602112355080962,0.5602112355080962,0.5602112355080962,0.8442392855727232,0.002181778612209043,0.41792647678965045,0.00044405942600456134,0.0006520293087117596,0.681672236719379,0.16064894403312147,0.0007773475372265028,0.0018118686066625296
CGP-DeepNeuralCrossover-FixedParents(40+40),0.00024164202506622834,0.4339510074180726,1.0,0.6766227439753234,0.6766227439753234,0.6766227439753234,0.7277366196432564,0.016593078348926333,0.0725199547532066,0.00028385299209958306,0.002132026079679077,0.2510424623996106,0.06417090017124487,0.0001476149890109772,9.144291358863703e-05
CGP-DeepNeuralCrossover-OnePoint(40+40),7.266301438527282e-05,0.5602112355080962,0.6766227439753234,1.0,1.0,1.0,0.8876145377170942,0.003745325255016672,0.10746184898152393,5.9279131132516446e-05,0.0007211258214677156,0.2962940227084747,0.04303850393913485,2.491471507183853e-05,3.583003426214866e-05
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,7.266301438527282e-05,0.5602112355080962,0.6766227439753234,1.0,1.0,1.0,0.8876145377170942,0.003745325255016672,0.10746184898152393,5.9279131132516446e-05,0.0007211258214677156,0.2962940227084747,0.04303850393913485,2.491471507183853e-05,3.583003426214866e-05
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,7.266301438527282e-05,0.5602112355080962,0.6766227439753234,1.0,1.0,1.0,0.8876145377170942,0.003745325255016672,0.10746184898152393,5.9279131132516446e-05,0.0007211258214677156,0.2962940227084747,0.04303850393913485,2.491471507183853e-05,3.583003426214866e-05
CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),0.00029941163479119544,0.8442392855727232,0.7277366196432564,0.8876145377170942,0.8876145377170942,0.8876145377170942,1.0,0.007870681276863314,0.15860283312349666,0.0004001465495258902,0.0009021942163357138,0.413975487538776,0.12337307951398259,0.0005052978539491034,0.00026195701769049154
CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,3.160759418379189e-08,0.002181778612209043,0.016593078348926333,0.003745325255016672,0.003745325255016672,0.003745325255016672,0.007870681276863314,1.0,2.5687023229313167e-05,1.609129969433768e-08,0.27152201679090304,0.000379759619492483,4.548448483233756e-05,8.08481971897097e-09,7.954122310596545e-10
CGP-OnePoint(40+40),0.0068135084369994195,0.41792647678965045,0.0725199547532066,0.10746184898152393,0.10746184898152393,0.10746184898152393,0.15860283312349666,2.5687023229313167e-05,1.0,0.004556230630965875,2.2040780665423933e-05,0.4544725490276492,0.6416931196450413,0.005823876026387041,0.014255775315551488
CGP-OnePointVL(40+40),0.7800909272223677,0.00044405942600456134,0.00028385299209958306,5.9279131132516446e-05,5.9279131132516446e-05,5.9279131132516446e-05,0.0004001465495258902,1.609129969433768e-08,0.004556230630965875,1.0,6.320061608101466e-09,0.001269129340836496,0.015095540551029267,0.8388457470798154,0.4061387260433521
CGP-RealValue(40+40),6.586187528830866e-09,0.0006520293087117596,0.002132026079679077,0.0007211258214677156,0.0007211258214677156,0.0007211258214677156,0.0009021942163357138,0.27152201679090304,2.2040780665423933e-05,6.320061608101466e-09,1.0,8.154342781006209e-05,1.0740402253411899e-05,8.77291790844552e-09,7.4493122181865895e-09
CGP-Subgraph(40+40),0.000924725887580728,0.681672236719379,0.2510424623996106,0.2962940227084747,0.2962940227084747,0.2962940227084747,0.413975487538776,0.000379759619492483,0.4544725490276492,0.001269129340836496,8.154342781006209e-05,1.0,0.3983940097879023,0.001269172182826938,0.0012389650765167626
CGP-TwoPoint(40+40),0.009072479409169935,0.16064894403312147,0.06417090017124487,0.04303850393913485,0.04303850393913485,0.04303850393913485,0.12337307951398259,4.548448483233756e-05,0.6416931196450413,0.015095540551029267,1.0740402253411899e-05,0.3983940097879023,1.0,0.028114738890385193,0.06617993344569598
CGP-TwoPointVL(40+40),0.5836516113073977,0.0007773475372265028,0.0001476149890109772,2.491471507183853e-05,2.491471507183853e-05,2.491471507183853e-05,0.0005052978539491034,8.08481971897097e-09,0.005823876026387041,0.8388457470798154,8.77291790844552e-09,0.001269172182826938,0.028114738890385193,1.0,0.5836516113073977
CGP-Uniform(40+40),0.4339510074180726,0.0018118686066625296,9.144291358863703e-05,3.583003426214866e-05,3.583003426214866e-05,3.583003426214866e-05,0.00026195701769049154,7.954122310596545e-10,0.014255775315551488,0.4061387260433521,7.4493122181865895e-09,0.0012389650765167626,0.06617993344569598,0.5836516113073977,1.0
