,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-OnePoint(40+40),CGP-OnePointDiversity(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.037664555327068146,0.04303850393913485,0.0015732762506674488,0.012213894067405346,0.0011246564465628123,0.00016490865902578245,0.0003898364220757894,0.00306745862373702,0.0034288047477894763
CGP-DeepNeuralCrossover(40+40),0.037664555327068146,1.0,0.9642588904029561,0.19377752195695064,0.7590146502526539,0.23436729735512896,8.553412869945846e-11,0.12506042652441687,0.39455454706518756,0.413975487538776
CGP-DeepNeuralCrossover-OnePoint(40+40),0.04303850393913485,0.9642588904029561,1.0,0.23166622013101779,0.707130135998675,0.2775778280367308,1.1736989600053166e-09,0.11205463999098723,0.34670157278279146,0.3983940097879023
CGP-OnePoint(40+40),0.0015732762506674488,0.19377752195695064,0.23166622013101779,1.0,0.3191738820241725,0.5979316591936927,7.120034374960117e-11,0.7800915700498592,0.6918139175147417,0.7174076711831379
CGP-OnePointDiversity(40+40),0.012213894067405346,0.7590146502526539,0.707130135998675,0.3191738820241725,1.0,0.5214400616344287,1.2316411046773388e-10,0.20096623049951212,0.6842014612315301,0.541793540419147
CGP-OnePointVL(40+40),0.0011246564465628123,0.23436729735512896,0.2775778280367308,0.5979316591936927,0.5214400616344287,1.0,1.1606644194817257e-13,0.41004668638288666,0.9450386479821191,0.9642588904029561
CGP-RealValue(40+40),0.00016490865902578245,8.553412869945846e-11,1.1736989600053166e-09,7.120034374960117e-11,1.2316411046773388e-10,1.1606644194817257e-13,1.0,8.187790086362336e-12,1.8420097581660492e-11,2.5310185364810463e-10
CGP-Subgraph(40+40),0.0003898364220757894,0.12506042652441687,0.11205463999098723,0.7800915700498592,0.20096623049951212,0.41004668638288666,8.187790086362336e-12,1.0,0.42189959061886206,0.5648626219954609
CGP-TwoPoint(40+40),0.00306745862373702,0.39455454706518756,0.34670157278279146,0.6918139175147417,0.6842014612315301,0.9450386479821191,1.8420097581660492e-11,0.42189959061886206,1.0,0.9422954352478662
CGP-Uniform(40+40),0.0034288047477894763,0.413975487538776,0.3983940097879023,0.7174076711831379,0.541793540419147,0.9642588904029561,2.5310185364810463e-10,0.5648626219954609,0.9422954352478662,1.0
