,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,CGP-OnePoint(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-TwoPointVL(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.037664555327068146,0.005524203312047147,0.04303850393913485,0.04303850393913485,0.04303850393913485,0.00025501382135271165,0.00015177075573559286,7.550949410141684e-06,3.804254229242342e-05,0.00035097076472410434,9.960120895997481e-05,3.477014363658254e-05,0.0002763783842187432,3.082096596378512e-05
CGP-DeepNeuralCrossover(40+40),0.037664555327068146,1.0,0.4971117207469564,0.9642588904029561,0.9642588904029561,0.9642588904029561,0.08925766346632563,1.4762899829624482e-10,2.4249633915012355e-12,1.2598376483310636e-11,6.683019119091864e-10,6.20193002479078e-11,7.0863021084850485e-12,2.893156616968635e-10,8.590963721481658e-12
CGP-DeepNeuralCrossover-FixedParents(40+40),0.005524203312047147,0.4971117207469564,1.0,0.5058882913243417,0.5058882913243417,0.5058882913243417,0.28996365553878367,2.2248204017262475e-11,5.417926627898937e-13,2.6757653736907817e-12,1.6755948214544006e-11,3.959213898863431e-12,1.8029775214149775e-12,2.2248204017262475e-11,1.8944949685877423e-12
CGP-DeepNeuralCrossover-OnePoint(40+40),0.04303850393913485,0.9642588904029561,0.5058882913243417,1.0,1.0,1.0,0.12170356021669182,3.1184506069030992e-09,6.800130181787266e-11,3.455610935912706e-10,5.141937486150817e-09,5.862006086045485e-10,1.5445182672575602e-10,4.933310956321214e-09,1.8495947558198558e-10
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,0.04303850393913485,0.9642588904029561,0.5058882913243417,1.0,1.0,1.0,0.12170356021669182,3.1184506069030992e-09,6.800130181787266e-11,3.455610935912706e-10,5.141937486150817e-09,5.862006086045485e-10,1.5445182672575602e-10,4.933310956321214e-09,1.8495947558198558e-10
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,0.04303850393913485,0.9642588904029561,0.5058882913243417,1.0,1.0,1.0,0.12170356021669182,3.1184506069030992e-09,6.800130181787266e-11,3.455610935912706e-10,5.141937486150817e-09,5.862006086045485e-10,1.5445182672575602e-10,4.933310956321214e-09,1.8495947558198558e-10
CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),0.00025501382135271165,0.08925766346632563,0.28996365553878367,0.12170356021669182,0.12170356021669182,0.12170356021669182,1.0,7.336135570444659e-13,2.1420684797513853e-14,4.5129651040406124e-14,2.160472933763535e-13,6.880265309611416e-14,2.65280282783309e-14,2.653669119693723e-13,4.5129651040406124e-14
CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,0.00015177075573559286,1.4762899829624482e-10,2.2248204017262475e-11,3.1184506069030992e-09,3.1184506069030992e-09,3.1184506069030992e-09,7.336135570444659e-13,1.0,0.34318024639305234,0.8280872985421532,0.2263305503982077,0.569532503257159,0.9862494996122527,0.42589476304532514,0.7960069696428962
CGP-OnePoint(40+40),7.550949410141684e-06,2.4249633915012355e-12,5.417926627898937e-13,6.800130181787266e-11,6.800130181787266e-11,6.800130181787266e-11,2.1420684797513853e-14,0.34318024639305234,1.0,0.3125218274148045,0.017066644595057228,0.11050681166192877,0.3327539413144992,0.06617993344569598,0.5463695021653148
CGP-OnePointVL(40+40),3.804254229242342e-05,1.2598376483310636e-11,2.6757653736907817e-12,3.455610935912706e-10,3.455610935912706e-10,3.455610935912706e-10,4.5129651040406124e-14,0.8280872985421532,0.3125218274148045,1.0,0.15456740907182093,0.5395115364168699,0.9587648295967376,0.3926389781922206,0.6416931196450413
CGP-RealValue(40+40),0.00035097076472410434,6.683019119091864e-10,1.6755948214544006e-11,5.141937486150817e-09,5.141937486150817e-09,5.141937486150817e-09,2.160472933763535e-13,0.2263305503982077,0.017066644595057228,0.15456740907182093,1.0,0.41200690684721786,0.13199026980796935,0.574216135479666,0.07197244189123012
CGP-Subgraph(40+40),9.960120895997481e-05,6.20193002479078e-11,3.959213898863431e-12,5.862006086045485e-10,5.862006086045485e-10,5.862006086045485e-10,6.880265309611416e-14,0.569532503257159,0.11050681166192877,0.5395115364168699,0.41200690684721786,1.0,0.5486634429033157,0.7303259120356004,0.3092302962615101
CGP-TwoPoint(40+40),3.477014363658254e-05,7.0863021084850485e-12,1.8029775214149775e-12,1.5445182672575602e-10,1.5445182672575602e-10,1.5445182672575602e-10,2.65280282783309e-14,0.9862494996122527,0.3327539413144992,0.9587648295967376,0.13199026980796935,0.5486634429033157,1.0,0.3362064160117333,0.6766227439753234
CGP-TwoPointVL(40+40),0.0002763783842187432,2.893156616968635e-10,2.2248204017262475e-11,4.933310956321214e-09,4.933310956321214e-09,4.933310956321214e-09,2.653669119693723e-13,0.42589476304532514,0.06617993344569598,0.3926389781922206,0.574216135479666,0.7303259120356004,0.3362064160117333,1.0,0.19615247557393267
CGP-Uniform(40+40),3.082096596378512e-05,8.590963721481658e-12,1.8944949685877423e-12,1.8495947558198558e-10,1.8495947558198558e-10,1.8495947558198558e-10,4.5129651040406124e-14,0.7960069696428962,0.5463695021653148,0.6416931196450413,0.07197244189123012,0.3092302962615101,0.6766227439753234,0.19615247557393267,1.0
