,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,CGP-OnePoint(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-TwoPointVL(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,1.4196425149328761e-06,7.760743214060706e-09,1.3713718356885716e-06,1.3713718356885716e-06,1.3713718356885716e-06,8.08481971897097e-09,3.3057262873263523e-10,0.0001892099925849962,0.9807502142665714,3.427777693136684e-13,0.9642588904029561,0.00010844323063296558,0.028612266110102497,0.0038284980838939613
CGP-DeepNeuralCrossover(40+40),1.4196425149328761e-06,1.0,0.8173591109195852,0.849638224168953,0.849638224168953,0.849638224168953,0.41792647678965045,0.2837249771000748,0.17334644105622332,9.761710633723089e-06,0.0004924572634527734,0.00014356653667325163,0.13199026980796935,0.003745325255016672,0.05065417476774865
CGP-DeepNeuralCrossover-FixedParents(40+40),7.760743214060706e-09,0.8173591109195852,1.0,0.7800915700498592,0.7800915700498592,0.7800915700498592,0.5281814272943972,0.4339510074180726,0.09457336972345802,2.293658386858237e-07,0.0004799214751372957,2.0724971526497475e-05,0.0389514842806052,0.00036992668813039904,0.02270231182139499
CGP-DeepNeuralCrossover-OnePoint(40+40),1.3713718356885716e-06,0.849638224168953,0.7800915700498592,1.0,1.0,1.0,0.37942186145485324,0.20340518118848738,0.19615247557393267,8.868557122588159e-06,0.00021684799595288174,0.0004799214751372957,0.13199026980796935,0.005182848661558369,0.055743569957150546
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,1.3713718356885716e-06,0.849638224168953,0.7800915700498592,1.0,1.0,1.0,0.37942186145485324,0.20340518118848738,0.19615247557393267,8.868557122588159e-06,0.00021684799595288174,0.0004799214751372957,0.13199026980796935,0.005182848661558369,0.055743569957150546
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,1.3713718356885716e-06,0.849638224168953,0.7800915700498592,1.0,1.0,1.0,0.37942186145485324,0.20340518118848738,0.19615247557393267,8.868557122588159e-06,0.00021684799595288174,0.0004799214751372957,0.13199026980796935,0.005182848661558369,0.055743569957150546
CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),8.08481971897097e-09,0.41792647678965045,0.5281814272943972,0.37942186145485324,0.37942186145485324,0.37942186145485324,1.0,0.855044223388649,0.023962746648840866,7.422709343011371e-08,0.005762911227183264,3.92315483214605e-06,0.01269845987050432,0.0001560364787527335,0.0056424186010142
CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,3.3057262873263523e-10,0.2837249771000748,0.4339510074180726,0.20340518118848738,0.20340518118848738,0.20340518118848738,0.855044223388649,1.0,0.011977811890149424,2.8085322150826743e-08,0.0033535766293491796,2.904547596835392e-06,0.004363757855695702,2.3435863558056906e-05,0.002232593330169188
CGP-OnePoint(40+40),0.0001892099925849962,0.17334644105622332,0.09457336972345802,0.19615247557393267,0.19615247557393267,0.19615247557393267,0.023962746648840866,0.011977811890149424,1.0,0.000924725887580728,1.6295769132078532e-06,0.017552709019960137,0.7485418654676034,0.11599795129367313,0.5372367844027907
CGP-OnePointVL(40+40),0.9807502142665714,9.761710633723089e-06,2.293658386858237e-07,8.868557122588159e-06,8.868557122588159e-06,8.868557122588159e-06,7.422709343011371e-08,2.8085322150826743e-08,0.000924725887580728,1.0,7.0863021084850485e-12,0.9532727267129067,0.0003898364220757894,0.03231187253867862,0.0072498814330279535
CGP-RealValue(40+40),3.427777693136684e-13,0.0004924572634527734,0.0004799214751372957,0.00021684799595288174,0.00021684799595288174,0.00021684799595288174,0.005762911227183264,0.0033535766293491796,1.6295769132078532e-06,7.0863021084850485e-12,1.0,1.0313751827653347e-09,7.045566667668902e-07,5.359138397312123e-09,8.710286001255252e-07
CGP-Subgraph(40+40),0.9642588904029561,0.00014356653667325163,2.0724971526497475e-05,0.0004799214751372957,0.0004799214751372957,0.0004799214751372957,3.92315483214605e-06,2.904547596835392e-06,0.017552709019960137,0.9532727267129067,1.0313751827653347e-09,1.0,0.005762911227183264,0.040951809161116653,0.0383034251815027
CGP-TwoPoint(40+40),0.00010844323063296558,0.13199026980796935,0.0389514842806052,0.13199026980796935,0.13199026980796935,0.13199026980796935,0.01269845987050432,0.004363757855695702,0.7485418654676034,0.0003898364220757894,7.045566667668902e-07,0.005762911227183264,1.0,0.08796704835301385,0.6075389657421122
CGP-TwoPointVL(40+40),0.028612266110102497,0.003745325255016672,0.00036992668813039904,0.005182848661558369,0.005182848661558369,0.005182848661558369,0.0001560364787527335,2.3435863558056906e-05,0.11599795129367313,0.03231187253867862,5.359138397312123e-09,0.040951809161116653,0.08796704835301385,1.0,0.429911925619208
CGP-Uniform(40+40),0.0038284980838939613,0.05065417476774865,0.02270231182139499,0.055743569957150546,0.055743569957150546,0.055743569957150546,0.0056424186010142,0.002232593330169188,0.5372367844027907,0.0072498814330279535,8.710286001255252e-07,0.0383034251815027,0.6075389657421122,0.429911925619208,1.0
