,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-OnePoint(40+40),CGP-OnePointDiversity(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.0026798445953055477,0.00035097076472410434,0.0047573716696702765,0.002337490491098707,0.00306745862373702,0.0006687013810479448,0.00070324099718111,0.002337490491098707,0.001331636074868797
CGP-DeepNeuralCrossover(40+40),0.0026798445953055477,1.0,0.7590146502526539,0.8066650286783502,0.849638224168953,0.8173591109195852,0.5979316591936927,0.37942186145485324,0.8013313771703272,0.6918139175147417
CGP-DeepNeuralCrossover-OnePoint(40+40),0.00035097076472410434,0.7590146502526539,1.0,0.9807502142665714,0.9313290936985889,0.9532727267129067,0.7020111769696078,0.5058882913243417,0.9807502142665714,0.7642678019983193
CGP-OnePoint(40+40),0.0047573716696702765,0.8066650286783502,0.9807502142665714,1.0,0.9149046417869761,0.988999370644537,0.8876145377170942,0.6027266944719398,0.994499554621455,0.8985164449208333
CGP-OnePointDiversity(40+40),0.002337490491098707,0.849638224168953,0.9313290936985889,0.9149046417869761,1.0,0.9917494383745994,0.7695318249152246,0.569532503257159,0.9642588904029561,0.8280872985421532
CGP-OnePointVL(40+40),0.00306745862373702,0.8173591109195852,0.9532727267129067,0.988999370644537,0.9917494383745994,1.0,0.8767338520233376,0.5836516113073977,0.9422954352478662,0.8930629655407459
CGP-RealValue(40+40),0.0006687013810479448,0.5979316591936927,0.7020111769696078,0.8876145377170942,0.7695318249152246,0.8767338520233376,1.0,0.61721454379037,0.9477828419642976,0.9917494383745994
CGP-Subgraph(40+40),0.00070324099718111,0.37942186145485324,0.5058882913243417,0.6027266944719398,0.569532503257159,0.5836516113073977,0.61721454379037,1.0,0.6027266944719398,0.6367650112850698
CGP-TwoPoint(40+40),0.002337490491098707,0.8013313771703272,0.9807502142665714,0.994499554621455,0.9642588904029561,0.9422954352478662,0.9477828419642976,0.6027266944719398,1.0,0.9313290936985889
CGP-Uniform(40+40),0.001331636074868797,0.6918139175147417,0.7642678019983193,0.8985164449208333,0.8280872985421532,0.8930629655407459,0.9917494383745994,0.6367650112850698,0.9313290936985889,1.0
