,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,CGP-OnePoint(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-TwoPointVL(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.0026798445953055477,0.00020536648191250088,0.00035097076472410434,0.00035097076472410434,0.00035097076472410434,9.960120895997481e-05,1.1444177157605616e-05,0.06720371990888843,0.005885719225372546,1.2582938430134942e-05,0.007711171965657957,0.028612266110102497,0.0014651559899696736,0.09322122365616477
CGP-DeepNeuralCrossover(40+40),0.0026798445953055477,1.0,0.5058882913243417,0.7590146502526539,0.7590146502526539,0.7590146502526539,0.429911925619208,0.17553368351683218,0.20834759209134845,0.7537725963595163,0.15061531823974889,0.6766227439753234,0.413975487538776,0.8120076863024113,0.17553368351683218
CGP-DeepNeuralCrossover-FixedParents(40+40),0.00020536648191250088,0.5058882913243417,1.0,0.7695318249152246,0.7695318249152246,0.7695318249152246,0.7695318249152246,0.3719912424570482,0.05065417476774865,0.322534407404523,0.3191738820241725,0.3125218274148045,0.13376838391331403,0.7537725963595163,0.05065417476774865
CGP-DeepNeuralCrossover-OnePoint(40+40),0.00035097076472410434,0.7590146502526539,0.7695318249152246,1.0,1.0,1.0,0.532699369151848,0.2510424623996106,0.1152015555225987,0.5463695021653148,0.12848904043605205,0.4884169349823003,0.28683286442630795,0.849638224168953,0.07817563378481004
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr3,0.00035097076472410434,0.7590146502526539,0.7695318249152246,1.0,1.0,1.0,0.532699369151848,0.2510424623996106,0.1152015555225987,0.5463695021653148,0.12848904043605205,0.4884169349823003,0.28683286442630795,0.849638224168953,0.07817563378481004
CGP-DeepNeuralCrossover-OnePoint(40+40)-Lr5,0.00035097076472410434,0.7590146502526539,0.7695318249152246,1.0,1.0,1.0,0.532699369151848,0.2510424623996106,0.1152015555225987,0.5463695021653148,0.12848904043605205,0.4884169349823003,0.28683286442630795,0.849638224168953,0.07817563378481004
CGP-DeepNeuralCrossover-OnePoint-FixedParents(40+40),9.960120895997481e-05,0.429911925619208,0.7695318249152246,0.532699369151848,0.532699369151848,0.532699369151848,1.0,0.6367650112850698,0.030150595761443386,0.19615247557393267,0.532699369151848,0.18221888469152203,0.0918846347469155,0.5372367844027907,0.014255775315551488
CGP-DeepNeuralCrossover-OnePoint-HigherEmbeddings,1.1444177157605616e-05,0.17553368351683218,0.3719912424570482,0.2510424623996106,0.2510424623996106,0.2510424623996106,0.6367650112850698,1.0,0.005408227829922081,0.05147432691846428,0.9039747211325873,0.055743569957150546,0.01890770439299308,0.2159235287397011,0.002284490444107304
CGP-OnePoint(40+40),0.06720371990888843,0.20834759209134845,0.05065417476774865,0.1152015555225987,0.1152015555225987,0.1152015555225987,0.030150595761443386,0.005408227829922081,1.0,0.34670157278279146,0.002391614338734527,0.3628293900791921,0.6027266944719398,0.10746184898152393,0.9149046417869761
CGP-OnePointVL(40+40),0.005885719225372546,0.7537725963595163,0.322534407404523,0.5463695021653148,0.5463695021653148,0.5463695021653148,0.19615247557393267,0.05147432691846428,0.34670157278279146,1.0,0.03041327757682925,0.9807502142665714,0.6892723395932926,0.5058882913243417,0.2994936304206761
CGP-RealValue(40+40),1.2582938430134942e-05,0.15061531823974889,0.3191738820241725,0.12848904043605205,0.12848904043605205,0.12848904043605205,0.532699369151848,0.9039747211325873,0.002391614338734527,0.03041327757682925,1.0,0.04447899727755185,0.014255775315551488,0.13199026980796935,0.0017907263517872674
CGP-Subgraph(40+40),0.007711171965657957,0.6766227439753234,0.3125218274148045,0.4884169349823003,0.4884169349823003,0.4884169349823003,0.18221888469152203,0.055743569957150546,0.3628293900791921,0.9807502142665714,0.04447899727755185,1.0,0.6269570263068287,0.47980480920169444,0.30596175764279965
CGP-TwoPoint(40+40),0.028612266110102497,0.413975487538776,0.13376838391331403,0.28683286442630795,0.28683286442630795,0.28683286442630795,0.0918846347469155,0.01890770439299308,0.6027266944719398,0.6892723395932926,0.014255775315551488,0.6269570263068287,1.0,0.28683286442630795,0.5836516113073977
CGP-TwoPointVL(40+40),0.0014651559899696736,0.8120076863024113,0.7537725963595163,0.849638224168953,0.849638224168953,0.849638224168953,0.5372367844027907,0.2159235287397011,0.10746184898152393,0.5058882913243417,0.13199026980796935,0.47980480920169444,0.28683286442630795,1.0,0.0918846347469155
CGP-Uniform(40+40),0.09322122365616477,0.17553368351683218,0.05065417476774865,0.07817563378481004,0.07817563378481004,0.07817563378481004,0.014255775315551488,0.002284490444107304,0.9149046417869761,0.2994936304206761,0.0017907263517872674,0.30596175764279965,0.5836516113073977,0.0918846347469155,1.0
